,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
2,1881874915.0,HAVRE DE GRACE,210783201.0,MD,0.8241310671324081,0.5663991385826768,3
7,1154481596.0,ELLICOTT CITY,21042.0,MD,0.79529477270487,0.6062229165152941,3
15,1033497771.0,MONROVIA,217706009.0,MD,0.8184540375393674,0.57457200456993,3
16,1316928641.0,PIKESVILLE,212086391.0,MD,0.8225034095902258,0.5687601789967835,3
22,1962815498.0,ABINGDON,210091200,MD,0.7827136778741535,0.6223819554491565,3
26,1033438791.0,SILVER SPRING,209101483,MD,0.8129797038736198,0.5822920238931334,3
31,1578605002.0,ROCKVILLE,208503348,MD,0.7565478529202704,0.6539383351981506,3
34,1861544652.0,HAGERSTOWN,217405724,MD,0.7988995539088382,0.6014644650885531,3
45,1710085956.0,BALTIMORE,212046819,MD,0.8073505678553673,0.5900720808372617,3
46,1134240062.0,TOWSON,212042316,MD,0.7583357792226406,0.6518641315111536,3
49,1982836904.0,BEL AIR,210144339,MD,0.7967775184953664,0.6042727745152564,3
56,1831546738.0,CUMBERLAND,215021847,MD,0.7432090193342991,0.669059304979872,3
57,1114948114.0,CHEVY CHASE,20815.0,MD,0.8190099298272068,0.5737793433406556,3
61,1235168618.0,GERMANTOWN,208764021,MD,0.8142676523803071,0.5804896125574199,3
67,1417904699.0,OAKLAND,215505101,MD,0.7698848924832623,0.6381827734481994,3
69,1457463846.0,BALTIMORE,212122015,MD,0.8285786003325226,0.5598727561428557,3
93,1225221575.0,LUTHERVILLE TIMONIUM,210936207,MD,0.8073186748366165,0.5901157151441143,3
95,1558589689.0,ELLICOTT CITY,210433383,MD,0.7795390863759242,0.6263535844969591,3
103,1255508149.0,BALTIMORE,212242734,MD,0.7957279120352542,0.6056542660693597,3
108,1073581831.0,SILVER SPRING,209025020,MD,0.7695229678737955,0.638619136821553,3
114,1245211481.0,HUNTINGTOWN,206393039,MD,0.8208711361709556,0.5711134544041179,3
118,1578505798.0,HAGERSTOWN,217426700,MD,0.8295067950897796,0.5584966221024819,3
121,1255456646.0,CHEVY CHASE,208156933,MD,0.8289769474697725,0.559282773347882,3
125,1861453284.0,WALDORF,206034804,MD,0.801884273204782,0.5974793823947723,3
127,1720026644.0,CUMBERLAND,215026214,MD,0.8147225371245299,0.5798510045704578,3
130,1356362263.0,PRINCE FREDERICK,206784017,MD,0.7385828983163868,0.6741626675473552,3
131,1467515007.0,CHESTER,216192790,MD,0.7550131152543726,0.6557096886533609,3
135,1326258385.0,GREENBELT,207702035,MD,0.8018141572706096,0.5975734743112535,3
139,1093094740.0,BALTIMORE,21204,MD,0.7792257021281458,0.626743412524534,3
140,1194709394.0,HAGERSTOWN,21742,MD,0.8016069655052886,0.5978513802387706,3
150,1700842895.0,BALTIMORE,212076665,MD,0.8156196702470286,0.5785884145972233,3
151,1992805063.0,SEVERNA PARK,211463916,MD,0.7985803749539221,0.6018881829197622,3
152,1437335973.0,SEVERNA PARK,211461600,MD,0.8183206603697453,0.5747619479506486,3
153,1184716722.0,BALTIMORE,212011771,MD,0.8087202143271095,0.5881935182732927,3
155,1225136161.0,HAVRE DE GRACE,21078,MD,0.8169507695444105,0.5767074129407352,3
157,1720590789.0,DENTON,216299501,MD,0.808514589869586,0.5884761320291717,3
159,1063440501.0,BALTIMORE,212373936,MD,0.7379320460023477,0.6748750221209767,3
160,1639132848.0,BALTIMORE,212183322,MD,0.8213559338983218,0.5704160147208487,3
161,1972568913.0,WESTMINSTER,211573008,MD,0.800831736059221,0.5988894142664191,3
165,1497749592.0,SILVER SPRING,209064554,MD,0.7736693060053436,0.6335896187164135,3
168,1841379781.0,CALIFORNIA,206194017,MD,0.7937175901981111,0.6082864350041872,3
171,1194783712.0,BALTIMORE,212870005,MD,0.8293932186027368,0.558665274503251,3
179,1548229446.0,BETHESDA,208171106,MD,0.8237416264764107,0.5669653717909037,3
181,1124348594.0,BALTIMORE,212011544,MD,0.8253904849058394,0.5645622617806677,3
183,1619912730.0,BALTIMORE,212011544,MD,0.8232387935766021,0.5676952428464948,3
186,1215960703.0,LAUREL,207074831,MD,0.734154595791711,0.6789823484288152,3
187,1003918582.0,BALTIMORE,212074122,MD,0.7622593033673721,0.6472717778722387,3
188,1881694248.0,SNOW HILL,218631127,MD,0.8031745704020727,0.5957437447925457,3
189,1689700023.0,BALTIMORE,212011734,MD,0.7617733945297682,0.6478435732386285,3
190,1346316098.0,TOWSON,212042055,MD,0.7996314110930501,0.6004911376476239,3
200,1689000697.0,SALISBURY,21801,MD,0.7912488271289422,0.6114943119662468,3
202,1255350278.0,OLNEY,208321514,MD,0.8174271848747736,0.5760319413259154,3
217,1295788123.0,OWINGS MILLS,211174836,MD,0.7894397923680118,0.6138280005229075,3
220,1326296567.0,ROCKVILLE,208506361,MD,0.8145031569981034,0.5801591223450017,3
222,1346344827.0,ANNAPOLIS,214017353,MD,0.7473870688773756,0.6643888690179006,3
224,1902177264.0,CUMBERLAND,215026491,MD,0.7345150145761534,0.6785924353853299,3
230,1124032156.0,BALTIMORE,212045804,MD,0.8220326570842641,0.5694403486643573,3
233,1437355252.0,TIMONIUM,210934113,MD,0.738094410524026,0.6746974441578911,3
234,1316905490.0,ROCKVILLE,208503222,MD,0.8203303566520176,0.5718899421699718,3
235,1568557379.0,BALTIMORE,212373900,MD,0.8264144255072445,0.5630623387454811,3
238,1063507515.0,ROCKVILLE,208542931,MD,0.8225797516274003,0.5686497623428716,3
247,1659338002.0,ROCKVILLE,208503204,MD,0.800915297973965,0.5987776594624044,3
248,1134123896.0,ANNAPOLIS,214017368,MD,0.795025251932729,0.6065763338519734,3
249,1487785242.0,SOLOMONS,20688,MD,0.7969148112749586,0.6040917012926078,3
250,1932368602.0,BALTIMORE,212011009,MD,0.8236897744837112,0.5670406999598645,3
252,1871946632.0,EDGEWATER,210371439,MD,0.7829267675016091,0.622113877621679,3
254,1063412385.0,BERLIN,218111132,MD,0.7406390745552375,0.6719030891742955,3
257,1235593203.0,PIKESVILLE,212081306,MD,0.8075333341866042,0.5898219342966707,3
263,1750343505.0,CUMBERLAND,215026393,MD,0.7706004847070029,0.637318517673331,3
266,1821152067.0,BETHESDA,208890004,MD,0.7971258309690377,0.6038132241032165,3
268,1790830230.0,BOWIE,207163104,MD,0.7621300997847078,0.6474239036382202,3
272,1518145010.0,BEL AIR,210156114,MD,0.7332868048379989,0.679919452472481,3
273,1316196975.0,ELLICOTT CITY,210424032,MD,0.7653685341534856,0.643592267610282,3
275,1518917376.0,LAUREL,207075248,MD,0.7371111605261825,0.6757715124417012,3
278,1922431873.0,ROCKVILLE,208503222,MD,0.7872734516650988,0.6166040158021365,3
281,1720302052.0,LINTHICUM,21090,MD,0.79941032877294,0.6007854244662896,3
288,1215006184.0,KENSINGTON,208952110,MD,0.7559426868323426,0.6546378038462941,3
289,1548240716.0,ANNAPOLIS,214017027,MD,0.8163612112391175,0.5775416632453464,3
290,1659494110.0,WESTMINSTER,211575344,MD,0.7996287071469036,0.600494738283835,3
