,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
11498,1588892053.0,FARGO,581034940.0,ND,0.9666057857930435,0.25626793570677747,2
11499,1679587422.0,BISMARCK,585014520,ND,0.9518536850984727,0.30655270699254583,2
11502,1982991717.0,FARGO,581036132,ND,0.9826651257409562,0.18538945669188053,2
11504,1255502498.0,FARGO,581023641,ND,0.9789878844181409,0.20391842036091992,2
11506,1639539497.0,FARGO,581036132,ND,0.9800303677157611,0.19884787742118354,2
11512,1750303327.0,FARGO,581220001,ND,0.9716268208040396,0.23651917701157896,2
11514,1205364403.0,FARGO,581023641,ND,0.9832942895167247,0.18202291120570346,2
11519,1255339628.0,BISMARCK,585014112,ND,0.9592591161795642,0.28252778275136264,2
11528,1184731952.0,BISMARCK,58501,ND,0.9822535613512332,0.18755783431469675,2
11533,1003907841.0,BISMARCK,585014439,ND,0.981609802461077,0.19089839106793266,2
11545,1922475854.0,MINOT,587014768,ND,0.9526896106697988,0.30394490573429106,2
11560,1730514993.0,ELKHART,465141503,IN,0.9560117359275084,0.2933284179360597,2
11563,1548680812.0,MADISON,472507328,IN,0.9748468689936464,0.22287570978750565,2
11567,1891738480.0,INDIANAPOLIS,462505644,IN,0.9949951930951253,0.09992279878783612,2
11597,1629061650.0,MARION,469522612,IN,0.964761652010109,0.2631253594975698,2
11608,1003149899.0,EAST CHICAGO,463123049.0,IN,0.9831935315152461,0.18256637036042211,2
11610,1780679084.0,ANDERSON,460164337,IN,0.9946000808435216,0.10378188274482265,2
11611,1730114935.0,INDIANAPOLIS,462021239,IN,0.9942671017688889,0.10692488176329086,2
11625,1386694214.0,RICHMOND,47374,IN,0.9739005313866262,0.22697522984864862,2
11626,1861730228.0,MISHAWAKA,465451469,IN,0.9831239983964536,0.182940437785007,2
11628,1194700500.0,INDIANAPOLIS,462601983,IN,0.9727551082320907,0.2318350694100736,2
11631,1750369799.0,PAOLI,474549672,IN,0.9494450638249382,0.31393322662384604,2
11632,1093755753.0,MUNCIE,473045407,IN,0.9593052265418871,0.28237117829094877,2
11633,1174658140.0,GREENWOOD,461421443,IN,0.9788801936781634,0.2044347485742119,2
11636,1952855405.0,INDIANAPOLIS,462901028,IN,0.9992003190723501,0.039984026381966194,2
11642,1356305320.0,INDIANAPOLIS,462025149,IN,0.9497112656833626,0.3131269899483362,2
11646,1134182397.0,INDIANAPOLIS,462022859,IN,0.9780509926615024,0.2083656779650862,2
11654,1326046822.0,INDIANAPOLIS,462378560,IN,0.9969975705644079,0.07743283727636716,2
11657,1679582803.0,MUNSTER,463212818,IN,0.9547259849249848,0.2974866277818509,2
11658,1235102062.0,TERRE HAUTE,478023558,IN,0.96685939286508,0.25530944837308484,2
11665,1164486684.0,INDIANAPOLIS,462025149,IN,0.9576785841169532,0.2878397636250907,2
11669,1407954159.0,BEDFORD,474213510,IN,0.9657518805621592,0.25946734898759993,2
11681,1578559357.0,MADISON,472503300,IN,0.987245265920989,0.15920673640457395,2
11682,1356353916.0,INDIANAPOLIS,462378601,IN,0.9842533222579589,0.17676367733267603,2
