,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
0,1427157874.0,FREDERICK,217013239.0,MD,0.6999184660063235,0.7142227530283216,1
4,1760805931.0,BALTIMORE,21224.0,MD,0.6999365698153625,0.7142050113483552,1
11,1851328314.0,COLUMBIA,21045.0,MD,0.6660304238474312,0.7459245769577586,1
13,1720196280.0,BALTIMORE,212865503.0,MD,0.694540586767674,0.7194535240947918,1
20,1295270445.0,FREDERICK,217037005,MD,0.6933391673040545,0.7206114064335369,1
32,1679677595.0,HAGERSTOWN,217407331,MD,0.6999255831142672,0.7142157783906437,1
40,1013150952.0,PERRY HALL,211289741,MD,0.7023767837345042,0.7118053481611202,1
41,1568436947.0,HYATTSVILLE,207822003,MD,0.5785058665483441,0.8156782223212469,1
42,1265488431.0,BALTIMORE,212184300,MD,0.6607120635672107,0.750639440115398,1
60,1841366382.0,FREDERICK,217024747,MD,0.6438796278265547,0.7651268031313094,1
68,1275797664.0,TIMONIUM,210933110,MD,0.6469569347397133,0.7625265402543012,1
72,1568624955.0,SYKESVILLE,21784,MD,0.5989087716631482,0.8008172595698341,1
76,1558520775.0,OWINGS MILLS,211175420,MD,0.7085614484524229,0.70564911518899,1
77,1326052978.0,ELLICOTT CITY,21043,MD,0.7150188639164129,0.6991051596460166,1
79,1316124100.0,CUMBERLAND,215025139,MD,0.6971252584950085,0.7169493524428818,1
83,1033213954.0,SILVER SPRING,209064506,MD,0.6999167675463673,0.7142244174679582,1
87,1487713749.0,ELKTON,219216390,MD,0.6696497050889866,0.7426770983908372,1
88,1912999657.0,ROCKVILLE,208503222,MD,0.565672378398512,0.8246300748317215,1
91,1821104969.0,ROCKVILLE,208524908,MD,0.5134019030719961,0.858148289004909,1
97,1467798926.0,BALTIMORE,21208,MD,0.6982549706870755,0.7158491432632933,1
98,1841438900.0,SHOWELL,218621107,MD,0.7079884860884559,0.7062239754965673,1
109,1679806517.0,FULTON,207592587,MD,0.6999046776449086,0.714236264978737,1
110,1710111794.0,BALTIMORE,212182829,MD,0.6947315313375781,0.7192691425087994,1
128,1942309810.0,REISTERSTOWN,21136,MD,0.6573232367511498,0.7536087595211404,1
129,1124122072.0,BALTIMORE,212204502,MD,0.7047885304543219,0.7094174563259897,1
136,1225050982.0,MIDDLE RIVER,212204104,MD,0.7025170598253891,0.7116669028796343,1
145,1649400565.0,ANDREWS AIRFORCE BASE,20762,MD,0.437641686864496,0.899149461390262,1
162,1699717256.0,CUMBERLAND,215021873,MD,0.4796498538520162,0.8774599806827315,1
167,1144216011.0,BALTIMORE,212373047,MD,0.6886287041848198,0.7251141343076523,1
175,1104976760.0,GLEN BURNIE,210614980,MD,0.7225705613801471,0.6912971747568328,1
177,1548224934.0,GREENBELT,207703621,MD,0.6839777282764327,0.7295028904821491,1
182,1306852439.0,ELLICOTT CITY,21042,MD,0.6931505933519508,0.7207927961181622,1
191,1710163233.0,LARGO,207744824,MD,0.7152845331374077,0.6988333396843632,1
194,1558535351.0,CHEVY CHASE,20815,MD,0.7053409496733185,0.708868213925509,1
196,1457517153.0,ELLICOTT CITY,210423650,MD,0.6581026959234207,0.7529281782602678,1
199,1699864744.0,BOWIE,20720,MD,0.7018182010872291,0.7123560995897246,1
205,1063424570.0,ROCKVILLE,208523143,MD,0.7230443531409647,0.6908016092851579,1
209,1518930593.0,TOWSON,21286,MD,0.6993545067939063,0.7147749812542769,1
210,1992802482.0,GAITHERSBURG,208861400,MD,0.7019586299131667,0.7122177208483582,1
211,1336173210.0,FREDERICK,217023740,MD,0.6999176058277524,0.714223595978421,1
215,1750374492.0,DAMASCUS,208722002,MD,0.6665121360362476,0.745494180068764,1
218,1295169142.0,RANDALLSTOWN,211332447,MD,0.6892130768885789,0.7245587171829333,1
228,1154356103.0,MARLOW HGTS,207481713,MD,0.7125231667459144,0.7016485850127354,1
236,1558319707.0,ANNAPOLIS,214013046,MD,0.602315598080125,0.7982580537078102,1
240,1952402703.0,BEL AIR,210156091,MD,0.7230000443767025,0.6908479831564149,1
241,1447509088.0,CENTREVILLE,216171002,MD,0.7116076444838835,0.7025770849608596,1
251,1407954258.0,SILVER SPRING,209041663,MD,0.6496719361210845,0.7602146903452218,1
256,1801891866.0,MIDDLETOWN,217698043,MD,0.5591875403856096,0.8290411899764041,1
259,1104379924.0,ANNAPOLIS,214013020,MD,0.6999285823617905,0.7142128391404164,1
264,1104026616.0,ARBUTUS,212271627,MD,0.6999249593801157,0.7142163896444435,1
283,1750485686.0,WALDORF,206014988,MD,0.7032274069078914,0.7109649880082723,1
302,1366500985.0,SUITLAND,207464207,MD,0.6488769762522506,0.7608933366048991,1
310,1801269758.0,FREDERICK,217037096,MD,0.6581957445681594,0.7528468382296404,1
314,1013955640.0,WALDORF,206023224,MD,0.6671661402661628,0.7449089483167394,1
315,1548236656.0,BALTIMORE,212158019,MD,0.7146131278050626,0.6995198907598448,1
317,1730415795.0,HAVRE DE GRACE,21078,MD,0.6999187814892089,0.7142224438637175,1
