,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
1,1770528648.0,BETHESDA,20817.0,MD,0.8741423295883484,0.4856698339632136,0
3,1922080159.0,GLEN BURNIE,210615884.0,MD,0.9366125118273897,0.35036695433272186,0
5,1821371568.0,EASTON,216013824.0,MD,0.8784179318750471,0.4778932275732362,0
8,1982661989.0,BALTIMORE,212870005.0,MD,0.8736324998182659,0.4865863286830895,0
9,1528094398.0,BALTIMORE,212442710.0,MD,0.8963607113279676,0.4433254731995668,0
12,1972866630.0,COLUMBIA,210442912.0,MD,0.8930817771263535,0.4498943646733466,0
17,1295780195.0,BALTIMORE,21211.0,MD,0.8926726327745035,0.4507056364140974,0
18,1679536486.0,SILVER SPRING,20910,MD,0.8808623817602358,0.4733724373045865,0
19,1497736243.0,FT MEADE,207555800,MD,0.9466768951061532,0.3221845065675467,0
24,1376668228.0,ANNAPOLIS,214011001,MD,0.8841771752896413,0.4671517127195736,0
25,1295923670.0,OWINGS MILLS,211175441,MD,0.9076424984043725,0.41974408285319365,0
27,1992700629.0,ROCKVILLE,208506326,MD,0.9370866028227671,0.34909697622592734,0
28,1720212699.0,BALTIMORE,212251233,MD,0.9386102499764393,0.3449794177036742,0
29,1306007398.0,OWINGS MILLS,211174201,MD,0.8858575121777998,0.4639573990337466,0
30,1417910415.0,GLEN BURNIE,21061,MD,0.9336496877937974,0.35818746555755493,0
36,1457758377.0,SALISBURY,218015453,MD,0.8968060792575109,0.4424238422675377,0
37,1306134838.0,BERWYN HEIGHTS,207402338,MD,0.9086156237337946,0.4176333898371244,0
38,1881634590.0,ANNAPOLIS,214013280,MD,0.9410006434807244,0.33840477090144927,0
47,1255868154.0,CATONSVILLE,212284516,MD,0.9407073044160101,0.3392193500058096,0
48,1265680631.0,GREENBELT,207702202,MD,0.8785387070972436,0.47767116317808395,0
53,1295813319.0,FREDERICK,21702,MD,0.8925967327370891,0.4508559334278231,0
